file,n_cycles,rom_knee_deg,rom_hip_deg,rom_ankle_deg,w_pelvis_mean_m,d_pelvis_mean_m,H_R_x,H_R_y,H_R_z
Chrono250_c3d,19,27.968145887802507,26.638620233505577,15.601413519082456,265.57888559078657,79.7958353527326,71.6686781199193,-108.57924707625423,1299.0446566579187
Chrono300_c3d,19,28.310624990201788,32.07837199716214,24.874766770655384,265.5788557604055,79.79682957422693,71.71773920006794,-105.07807690574067,1299.4780189834457
Chrono350_c3d,19,32.26198406845339,31.62602706339873,20.248022018417913,265.5801288278387,79.79562695565075,72.90999606705803,-107.704662633301,1297.9572212829544
Route250_c3d,19,24.321955930919515,37.39702085642139,28.74493332488359,265.57985467512736,79.79600993146944,74.55948370746816,-99.05050278085321,1297.2109719432551
Route300_c3d,19,21.012648608380445,27.931425216394192,19.4026820227364,265.5774504362688,79.79733096734766,58.13007785467833,-125.81512894890342,1306.6699806073902
Route350_c3d,19,20.94310748345069,32.33285038722407,27.19749276792811,265.5780150699836,79.7965972308494,67.18374503588765,-100.14389301679456,1304.104854070136
