Frame,Marker,Marker_Name,X,Y,Z,Valid
1,1,pHipOrigin,0.0,0.0,1249.9915771484375,1.0
1,2,pRightASI,100.48783874511719,-139.8580780029297,1295.5753173828125,1.0
1,3,pLeftASI,100.594970703125,123.46720123291016,1329.8033447265625,1.0
1,4,pRightCSI,86.8823471069336,-128.07379150390625,1376.4049072265625,1.0
1,5,pLeftCSI,86.93590545654297,91.38179779052734,1404.9549560546875,1.0
1,6,pRightIschialTub,-73.43754577636719,-51.047393798828125,1213.8887939453125,1.0
1,7,pLeftIschialTub,-73.38397979736328,58.65361785888672,1228.1370849609375,1.0
1,8,pSacrum,-52.22582244873047,-5.892144203186035,1295.6824951171875,1.0
1,9,pL5SpinalProcess,24.264921188354492,-14.78392505645752,1375.38720703125,1.0
1,10,pL3SpinalProcess,125.60980224609375,-32.08540344238281,1448.9853515625,1.0
1,11,pT12SpinalProcess,223.63365173339844,-50.13679122924805,1508.0675048828125,1.0
1,12,pIJ,479.03131103515625,-82.54358673095703,1405.8656005859375,1.0
1,13,pT4SpinalProcess,424.1808166503906,-87.4179916381836,1560.775390625,1.0
1,14,pT8SpinalProcess,328.9423522949219,-69.68799591064453,1548.2412109375,1.0
1,15,pPX,349.8326721191406,-58.01083755493164,1383.26123046875,1.0
1,16,pC7SpinalProcess,482.5130310058594,-98.77376556396484,1568.1673583984375,1.0
1,17,pTopOfHead,758.801025390625,-172.42556762695312,1475.4464111328125,1.0
1,18,pRightAuricularis,628.4775390625,-211.0458984375,1482.3563232421875,1.0
1,19,pLeftAuricularis,679.3641967773438,-64.97428131103516,1501.318359375,1.0
1,20,pBackOfHead,660.0272827148438,-147.94638061523438,1551.937255859375,1.0
1,21,pRightAcromion,413.3606872558594,-294.7143249511719,1496.81884765625,1.0
1,22,pLeftAcromion,499.4931335449219,113.28986358642578,1544.5987548828125,1.0
1,23,pRightArmLatEpicondyle,502.81414794921875,-171.6756591796875,1220.852294921875,1.0
1,24,pRightArmMedEpicondyle,456.8554382324219,-117.0394058227539,1224.226806640625,1.0
1,25,pLeftArmLatEpicondyle,518.026611328125,-30.960538864135742,1261.9901123046875,1.0
1,26,pLeftArmMedEpicondyle,466.7113952636719,-78.04412841796875,1278.006103515625,1.0
1,27,pRightUlnarStyloid,748.8915405273438,-108.36188507080078,1213.3531494140625,1.0
1,28,pRightRadialStyloid,746.6953735351562,-103.6481704711914,1268.0965576171875,1.0
1,29,pRightOlecranon,482.727294921875,-148.85699462890625,1195.033935546875,1.0
1,30,pLeftUlnarStyloid,757.7833251953125,-106.80850219726562,1243.938720703125,1.0
1,31,pLeftRadialStyloid,759.711669921875,-106.59424591064453,1298.8963623046875,1.0
1,32,pLeftOlecranon,493.38671875,-52.81503677368164,1241.9033203125,1.0
