Frame,Marker,Marker_Name,X,Y,Z,Valid
1,1,pHipOrigin,0.0,0.0,1249.9937744140625,1.0
1,2,pRightASI,98.01567077636719,-140.34304809570312,1299.322265625,1.0
1,3,pLeftASI,105.1771240234375,124.09617614746094,1322.6771240234375,1.0
1,4,pRightCSI,86.31150817871094,-124.95127868652344,1379.808349609375,1.0
1,5,pLeftCSI,92.29720306396484,95.45037841796875,1399.3153076171875,1.0
1,6,pRightIschialTub,-75.35556030273438,-50.664588928222656,1217.446533203125,1.0
1,7,pLeftIschialTub,-72.4161605834961,59.53623580932617,1227.17333984375,1.0
1,8,pSacrum,-51.41279983520508,-2.7790703773498535,1296.917236328125,1.0
1,9,pL5SpinalProcess,26.61494255065918,-11.490386962890625,1375.426025390625,1.0
1,10,pL3SpinalProcess,129.8680877685547,-26.61494255065918,1446.987060546875,1.0
1,11,pT12SpinalProcess,229.7008514404297,-42.27393341064453,1503.85107421875,1.0
1,12,pIJ,483.5047912597656,-62.79629898071289,1395.2001953125,1.0
1,13,pT4SpinalProcess,432.7867431640625,-72.84370422363281,1551.255615234375,1.0
1,14,pT8SpinalProcess,336.5881652832031,-58.841468811035156,1541.315185546875,1.0
1,15,pPX,352.88848876953125,-43.23591995239258,1376.1741943359375,1.0
1,16,pC7SpinalProcess,491.84197998046875,-81.55502319335938,1557.0810546875,1.0
1,17,pTopOfHead,766.2752075195312,-147.87860107421875,1453.827880859375,1.0
1,18,pRightAuricularis,637.3156127929688,-189.40432739257812,1467.0819091796875,1.0
1,19,pLeftAuricularis,685.5752563476562,-41.95327377319336,1481.99267578125,1.0
1,20,pBackOfHead,670.504150390625,-124.6840591430664,1534.4208984375,1.0
1,21,pRightAcromion,412.95916748046875,-280.3654479980469,1487.9783935546875,1.0
1,22,pLeftAcromion,505.41668701171875,128.1044464111328,1535.5966796875,1.0
1,23,pRightArmLatEpicondyle,526.3131713867188,-183.84619140625,1220.1187744140625,1.0
1,24,pRightArmMedEpicondyle,487.7268371582031,-123.66862487792969,1220.0653076171875,1.0
1,25,pLeftArmLatEpicondyle,544.751220703125,-9.08542251586914,1253.4141845703125,1.0
1,26,pLeftArmMedEpicondyle,499.0034484863281,-61.72742462158203,1269.1265869140625,1.0
1,27,pRightUlnarStyloid,776.3760375976562,-121.37055206298828,1216.6983642578125,1.0
1,28,pRightRadialStyloid,772.7418823242188,-114.15565490722656,1271.157470703125,1.0
1,29,pRightOlecranon,510.33349609375,-159.63621520996094,1192.9158935546875,1.0
1,30,pLeftUlnarStyloid,788.0802001953125,-84.44097900390625,1239.625732421875,1.0
1,31,pLeftRadialStyloid,788.8284301757812,-85.50985717773438,1294.619140625,1.0
1,32,pLeftOlecranon,523.266845703125,-32.81440734863281,1233.158935546875,1.0
1,33,pRightTopOfHand,963.9098510742188,-114.63665008544922,1173.7830810546875,1.0
1,34,pRightPinky,868.6732177734375,-128.26478576660156,1163.89599609375,1.0
1,35,pRightBallHand,802.2962036132812,-112.71267700195312,1207.773193359375,1.0
1,36,pLeftTopOfHand,975.6674194335938,-83.21177673339844,1191.472900390625,1.0
1,37,pLeftPinky,879.5757446289062,-75.08834075927734,1183.670166015625,1.0
1,38,pLeftBallHand,815.389892578125,-91.0145492553711,1230.540283203125,1.0
1,39,pRightGreaterTrochanter,0.8550985455513,-168.18719482421875,1215.6295166015625,1.0
1,40,pRightKneeLatEpicondyle,160.22409057617188,-179.5172576904297,819.879150390625,1.0
1,41,pRightKneeMedEpicondyle,173.10401916503906,-97.96222686767578,815.8709106445312,1.0
1,42,pRightPatella,208.32337951660156,-141.51881408691406,837.99658203125,1.0
1,43,pLeftGreaterTrochanter,17.422632217407227,169.04229736328125,1238.236083984375,1.0
