Frame,Marker,Marker_Name,X,Y,Z,Valid
1,1,pHipOrigin,0.0,0.0,1249.9769287109375,1.0
1,2,pRightASI,100.69097137451172,-138.77450561523438,1298.4951171875,1.0
1,3,pLeftASI,102.12108612060547,125.53266906738281,1324.5020751953125,1.0
1,4,pRightCSI,88.24363708496094,-124.36738586425781,1379.1114501953125,1.0
1,5,pLeftCSI,89.46188354492188,95.87094116210938,1400.7750244140625,1.0
1,6,pRightIschialTub,-74.10134887695312,-51.908023834228516,1216.5015869140625,1.0
1,7,pLeftIschialTub,-73.51870727539062,58.21113967895508,1227.35986328125,1.0
1,8,pSacrum,-51.59021759033203,-4.2903571128845215,1296.5882568359375,1.0
1,9,pL5SpinalProcess,26.801488876342773,-10.063799858093262,1376.039306640625,1.0
1,10,pL3SpinalProcess,131.8887481689453,-20.33946990966797,1446.3270263671875,1.0
1,11,pT12SpinalProcess,233.95687866210938,-30.297334671020508,1501.148193359375,1.0
1,12,pIJ,481.9501037597656,-62.925235748291016,1383.2957763671875,1.0
1,13,pT4SpinalProcess,439.68212890625,-52.75550079345703,1541.8271484375,1.0
1,14,pT8SpinalProcess,342.8577880859375,-41.367515563964844,1535.4180908203125,1.0
1,15,pPX,350.1672668457031,-47.564697265625,1368.941650390625,1.0
1,16,pC7SpinalProcess,493.2851257324219,-60.9124755859375,1545.322998046875,1.0
1,17,pTopOfHead,780.844970703125,-105.29913330078125,1544.4755859375,1.0
1,18,pRightAuricularis,664.3696899414062,-162.6098175048828,1503.42578125,1.0
1,19,pLeftAuricularis,686.2982177734375,-9.640061378479004,1523.50048828125,1.0
1,20,pBackOfHead,657.2720947265625,-91.20980834960938,1571.7537841796875,1.0
1,21,pRightAcromion,434.9680480957031,-266.00213623046875,1491.4552001953125,1.0
1,22,pLeftAcromion,492.3316955566406,150.0565643310547,1515.9261474609375,1.0
1,23,pRightArmLatEpicondyle,508.8045654296875,-147.19631958007812,1211.8934326171875,1.0
1,24,pRightArmMedEpicondyle,460.0216064453125,-95.0234603881836,1215.3363037109375,1.0
1,25,pLeftArmLatEpicondyle,521.993408203125,2.91320538520813,1236.576171875,1.0
1,26,pLeftArmMedEpicondyle,474.85247802734375,-48.041404724121094,1253.7376708984375,1.0
1,27,pRightUlnarStyloid,755.9503173828125,-106.94111633300781,1212.0523681640625,1.0
1,28,pRightRadialStyloid,752.5074462890625,-101.11470794677734,1266.66162109375,1.0
1,29,pRightOlecranon,487.9883728027344,-126.00936889648438,1186.2042236328125,1.0
1,30,pLeftUlnarStyloid,760.0817260742188,-89.30298614501953,1217.296142578125,1.0
1,31,pLeftRadialStyloid,762.9949340820312,-86.70758056640625,1272.2232666015625,1.0
1,32,pLeftOlecranon,498.7407531738281,-21.875524520874023,1217.084228515625,1.0
1,33,pRightTopOfHand,940.4356689453125,-135.11976623535156,1167.6656494140625,1.0
1,34,pRightPinky,844.0880126953125,-133.37184143066406,1159.137939453125,1.0
1,35,pRightBallHand,781.851318359375,-105.19319915771484,1202.7830810546875,1.0
1,36,pLeftTopOfHand,952.1943969726562,-105.14022827148438,1180.3778076171875,1.0
1,37,pLeftPinky,857.329833984375,-92.6928939819336,1166.129638671875,1.0
